onfigured
00/00/0000, 00:00:00, Master Init Complete
06/19/2012, 16:20:49, Note,4
06/19/2012, 16:20:53, Note,5
06/19/2012, 16:20:56, Note,5
06/19/2012, 16:21:03, Note,4
06/19/2012, 16:21:07, Note,5
06/19/2012, 16:21:11, Note,5
06/19/2012, 16:21:12, Note,5
06/19/2012, 16:21:12, Note,5
06/19/2012, 16:21:14, Note,5
06/19/2012, 16:21:14, Note,5
06/19/2012, 16:21:14, Note,5
06/19/2012, 16:21:15, Note,5
06/19/2012, 16:21:16, Note,5
06/19/2012, 16:21:18, Note,5
06/19/2012, 16:21:22, Note,5
06/19/2012, 16:21:22, Note,5
06/19/2012, 16:21:25, Note,2
06/19/2012, 16:21:25, Note,2
06/19/2012, 16:21:30, Note,5
06/19/2012, 16:21:32, Note,5
06/19/2012, 16:21:35, Note,5
06/19/2012, 16:21:37, Note,4
06/19/2012, 16:21:38, Note,5
06/19/2012, 16:21:40, Note,5
06/19/2012, 16:21:43, Note,5
06/19/2012, 16:21:44, Note,5
06/19/2012, 16:21:44, Note,5
06/19/2012, 16:21:45, Note,5
06/19/2012, 16:21:45, Note,5
06/19/2012, 16:21:47, Note,5
06/19/2012, 16:21:48, Note,5
06/19/2012, 16:21:50, Note,5
06/19/2012, 16:21:50, Note,5
06/19/2012, 16:21:50, Note,5
06/19/2012, 16:21:51, Note,5
06/19/2012, 16:21:51, Note,4
06/19/2012, 16:21:52, Note,5
06/19/2012, 16:21:59, Note,5
06/19/2012, 16:22:00, Note,5
06/19/2012, 16:22:06, Note,4
06/19/2012, 16:22:08, Note,1
06/19/2012, 16:22:09, Note,5
06/19/2012, 16:22:09, Note,5
06/19/2012, 16:22:10, Note,5
06/19/2012, 16:22:11, Note,5
06/19/2012, 16:22:13, Note,5
06/19/2012, 16:22:14, Note,5
06/19/2012, 16:22:14, Note,5
06/19/2012, 16:22:15, Note,5
06/19/2012, 16:22:16, Note,2
06/19/2012, 16:22:17, Note,5
06/19/2012, 16:22:17, Note,5
06/19/2012, 16:22:17, Note,5
06/19/2012, 16:22:17, Note,5
06/19/2012, 16:22:19, Note,5
06/19/2012, 16:22:20, Note,5
06/19/2012, 16:22:21, Note,5
06/19/2012, 16:22:22, Note,5
06/19/2012, 16:22:22, Note,5
06/19/2012, 16:22:22, Note,1
06/19/2012, 16:22:23, Note,4
06/19/2012, 16:22:23, Note,5
06/19/2012, 16:22:24, Note,5
06/19/2012, 16:22:25, Note,5
06/19/2012, 16:22:26, Note,5
06/19/2012, 16:22:26, Note,5
06/19/2012, 16:22:27, Note,5
06/19/2012, 16:22:27, Note,5
06/19/2012, 16:22:27, Note,5
06/19/2012, 16:22:27, Note,5
06/19/2012, 16:22:28, Note,5
06/19/2012, 16:22:28, Note,5
06/19/2012, 16:22:28, Note,4
06/19/2012, 16:22:29, Note,5
06/19/2012, 16:22:29, Note,5
06/19/2012, 16:22:30, Note,5
06/19/2012, 16:22:31, Note,5
06/19/2012, 16:22:31, Note,5
06/19/2012, 16:22:32, Note,5
06/19/2012, 16:22:33, Note,4
06/19/2012, 16:22:33, Note,5
06/19/2012, 16:22:34, Note,4
06/19/2012, 16:22:34, Note,5
06/19/2012, 16:22:36, Note,5
06/19/2012, 16:22:36, Note,5
06/19/2012, 16:22:37, Note,5
06/19/2012, 16:22:42, Note,1
06/19/2012, 16:22:44, Note,4
06/19/2012, 16:22:44, Note,5
06/19/2012, 16:22:46, Note,2
06/19/2012, 16:22:46, Note,5
06/19/2012, 16:22:46, Note,1
